timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682193770681,53,(GET) Logowanie,200,OK,Thread Group 1-2,text,true,,1403,125,2,2,http://localhost:3000/logowanie,48,0,34
1682193770681,52,(GET) Logowanie,200,OK,Thread Group 1-1,text,true,,1403,125,2,2,http://localhost:3000/logowanie,48,0,33
1682193770756,16,(GET) Logowanie,200,OK,Thread Group 1-3,text,true,,1403,125,3,3,http://localhost:3000/logowanie,16,0,2
1682193770842,3,(GET) Logowanie,200,OK,Thread Group 1-4,text,true,,1403,125,4,4,http://localhost:3000/logowanie,3,0,0
1682193770953,8,(GET) Logowanie,200,OK,Thread Group 1-5,text,true,,1403,125,5,5,http://localhost:3000/logowanie,8,0,2
1682193771052,701,(GET) Logowanie,200,OK,Thread Group 1-6,text,true,,1403,125,13,13,http://localhost:3000/logowanie,701,0,1
1682193771161,596,(GET) Logowanie,200,OK,Thread Group 1-7,text,true,,1403,125,13,13,http://localhost:3000/logowanie,596,0,1
1682193771256,505,(GET) Logowanie,200,OK,Thread Group 1-8,text,true,,1403,125,13,13,http://localhost:3000/logowanie,505,0,2
1682193771356,574,(GET) Logowanie,200,OK,Thread Group 1-9,text,true,,1403,125,14,14,http://localhost:3000/logowanie,574,0,1
1682193771462,473,(GET) Logowanie,200,OK,Thread Group 1-10,text,true,,1403,125,14,14,http://localhost:3000/logowanie,473,0,1
1682193771544,395,(GET) Logowanie,200,OK,Thread Group 1-11,text,true,,1403,125,14,14,http://localhost:3000/logowanie,395,0,1
1682193771645,299,(GET) Logowanie,200,OK,Thread Group 1-12,text,true,,1403,125,14,14,http://localhost:3000/logowanie,299,0,1
1682193771740,208,(GET) Logowanie,200,OK,Thread Group 1-13,text,true,,1403,125,14,14,http://localhost:3000/logowanie,208,0,1
1682193771853,111,(GET) Logowanie,200,OK,Thread Group 1-14,text,true,,1403,125,15,15,http://localhost:3000/logowanie,111,0,2
1682193771956,21,(GET) Logowanie,200,OK,Thread Group 1-15,text,true,,1403,125,15,15,http://localhost:3000/logowanie,21,0,1
1682193772070,8,(GET) Logowanie,200,OK,Thread Group 1-16,text,true,,1403,125,16,16,http://localhost:3000/logowanie,8,0,2
1682193772153,5,(GET) Logowanie,200,OK,Thread Group 1-17,text,true,,1403,125,17,17,http://localhost:3000/logowanie,5,0,1
1682193772241,1374,(GET) Logowanie,200,OK,Thread Group 1-18,text,true,,1403,125,29,29,http://localhost:3000/logowanie,1374,0,2
1682193772338,1281,(GET) Logowanie,200,OK,Thread Group 1-19,text,true,,1403,125,29,29,http://localhost:3000/logowanie,1281,0,1
1682193772437,1186,(GET) Logowanie,200,OK,Thread Group 1-20,text,true,,1403,125,29,29,http://localhost:3000/logowanie,1186,0,1
1682193772558,1070,(GET) Logowanie,200,OK,Thread Group 1-21,text,true,,1403,125,29,29,http://localhost:3000/logowanie,1069,0,1
1682193772641,991,(GET) Logowanie,200,OK,Thread Group 1-22,text,true,,1403,125,29,29,http://localhost:3000/logowanie,991,0,0
1682193772750,1617,(GET) Logowanie,200,OK,Thread Group 1-23,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1617,0,1
1682193772838,1534,(GET) Logowanie,200,OK,Thread Group 1-24,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1534,0,1
1682193772936,1441,(GET) Logowanie,200,OK,Thread Group 1-25,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1441,0,2
1682193773038,1343,(GET) Logowanie,200,OK,Thread Group 1-26,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1343,0,1
1682193773147,1237,(GET) Logowanie,200,OK,Thread Group 1-27,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1237,0,1
1682193773245,1142,(GET) Logowanie,200,OK,Thread Group 1-28,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1142,0,1
1682193773342,1048,(GET) Logowanie,200,OK,Thread Group 1-29,text,true,,1403,125,39,39,http://localhost:3000/logowanie,1048,0,1
1682193770736,3864,(POST) Logowanie,404,Not Found,Thread Group 1-2,text,false,,545,424,41,41,http://localhost:3000/strona_glowna,1912,0,0
1682193770736,1912,(POST) Logowanie-0,302,Found,Thread Group 1-2,text,true,,266,295,41,41,http://localhost:3000/logowanie,1912,0,0
1682193772648,1952,(POST) Logowanie-1,404,Not Found,Thread Group 1-2,text,false,,279,129,41,41,http://localhost:3000/strona_glowna,1952,0,0
1682193770658,3917,Logowanie,,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-2,,false,,1948,549,41,41,null,1960,27,34
1682193770846,3756,(POST) Logowanie,404,Not Found,Thread Group 1-4,text,false,,545,424,41,41,http://localhost:3000/strona_glowna,1804,0,0
1682193770846,1804,(POST) Logowanie-0,302,Found,Thread Group 1-4,text,true,,266,295,41,41,http://localhost:3000/logowanie,1804,0,0
1682193772650,1952,(POST) Logowanie-1,404,Not Found,Thread Group 1-4,text,false,,279,129,41,41,http://localhost:3000/strona_glowna,1952,0,0
1682193770841,3759,Logowanie,,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-4,,false,,1948,549,41,41,null,1807,2,0
1682193773652,968,(GET) Logowanie,200,OK,Thread Group 1-30,text,true,,1403,125,41,41,http://localhost:3000/logowanie,968,0,1
1682193773652,972,(GET) Logowanie,200,OK,Thread Group 1-32,text,true,,1403,125,41,41,http://localhost:3000/logowanie,972,0,1
1682193773652,976,(GET) Logowanie,200,OK,Thread Group 1-31,text,true,,1403,125,41,41,http://localhost:3000/logowanie,975,0,1
1682193773732,900,(GET) Logowanie,200,OK,Thread Group 1-33,text,true,,1403,125,41,41,http://localhost:3000/logowanie,899,0,1
1682193773832,803,(GET) Logowanie,200,OK,Thread Group 1-34,text,true,,1403,125,41,41,http://localhost:3000/logowanie,803,0,1
1682193773934,704,(GET) Logowanie,200,OK,Thread Group 1-35,text,true,,1403,125,41,41,http://localhost:3000/logowanie,704,0,1
1682193774034,607,(GET) Logowanie,200,OK,Thread Group 1-36,text,true,,1403,125,41,41,http://localhost:3000/logowanie,607,0,1
1682193774139,505,(GET) Logowanie,200,OK,Thread Group 1-37,text,true,,1403,125,41,41,http://localhost:3000/logowanie,504,0,1
1682193774233,413,(GET) Logowanie,200,OK,Thread Group 1-38,text,true,,1403,125,41,41,http://localhost:3000/logowanie,413,0,1
1682193774342,307,(GET) Logowanie,200,OK,Thread Group 1-39,text,true,,1403,125,42,42,http://localhost:3000/logowanie,307,0,2
1682193774437,760,(GET) Logowanie,200,OK,Thread Group 1-40,text,true,,1403,125,47,47,http://localhost:3000/logowanie,760,0,1
1682193774548,653,(GET) Logowanie,200,OK,Thread Group 1-41,text,true,,1403,125,47,47,http://localhost:3000/logowanie,653,0,1
1682193774649,1627,(GET) Logowanie,200,OK,Thread Group 1-42,text,true,,1403,125,50,50,http://localhost:3000/logowanie,1627,0,1
1682193774747,1533,(GET) Logowanie,200,OK,Thread Group 1-43,text,true,,1403,125,50,50,http://localhost:3000/logowanie,1533,0,1
1682193774846,1438,(GET) Logowanie,200,OK,Thread Group 1-44,text,true,,1403,125,50,50,http://localhost:3000/logowanie,1437,0,1
1682193774940,1349,(GET) Logowanie,200,OK,Thread Group 1-45,text,true,,1403,125,50,50,http://localhost:3000/logowanie,1349,0,1
